v8-version,7,8,279,23,-node.46,0
code-creation,Builtin,3,1630,0x13941e0,56,ContinueToJavaScriptBuiltin
code-creation,Builtin,3,1633,0x1394220,64,ContinueToJavaScriptBuiltinWithResult
code-creation,Builtin,3,1636,0x1394280,287,CallApiCallback
code-creation,Builtin,3,1639,0x13943a0,269,CallApiGetter
code-creation,Builtin,3,1641,0x13944c0,12,HandleApiCall
code-creation,Builtin,3,1644,0x13944e0,12,HandleApiCallAsFunction
code-creation,Builtin,3,1647,0x1394500,12,HandleApiCallAsConstructor
code-creation,Builtin,3,1650,0x1394520,92,AllocateInYoungGeneration
code-creation,Builtin,3,1652,0x1394580,80,AllocateRegularInYoungGeneration
code-creation,Builtin,3,1655,0x13945e0,92,AllocateInOldGeneration
code-creation,Builtin,3,1658,0x1394640,80,AllocateRegularInOldGeneration
code-creation,Builtin,3,1661,0x13946a0,498,CopyFastSmiOrObjectElements
code-creation,Builtin,3,1664,0x13948a0,583,GrowFastDoubleElements
code-creation,Builtin,3,1667,0x1394b00,478,GrowFastSmiOrObjectElements
code-creation,Builtin,3,1669,0x1394ce0,453,NewArgumentsElements
code-creation,Builtin,3,1672,0x1394ec0,496,DebugBreakTrampoline
code-creation,Builtin,3,1675,0x13950c0,141,FrameDropperTrampoline
code-creation,Builtin,3,1678,0x1395160,45,HandleDebuggerStatement
code-creation,Builtin,3,1681,0x13951a0,282,ToObject
code-creation,Builtin,3,1684,0x13952c0,104,ToBoolean
code-creation,Builtin,3,1686,0x1395340,269,OrdinaryToPrimitive_Number
code-creation,Builtin,3,1689,0x1395460,269,OrdinaryToPrimitive_String
code-creation,Builtin,3,1692,0x1395580,219,NonPrimitiveToPrimitive_Default
code-creation,Builtin,3,1695,0x1395660,219,NonPrimitiveToPrimitive_Number
code-creation,Builtin,3,1698,0x1395740,219,NonPrimitiveToPrimitive_String
code-creation,Builtin,3,1701,0x1395820,85,StringToNumber
code-creation,Builtin,3,1703,0x1395880,129,ToName
code-creation,Builtin,3,1706,0x1395920,243,NonNumberToNumber
code-creation,Builtin,3,1709,0x1395a20,259,NonNumberToNumeric
code-creation,Builtin,3,1711,0x1395b40,235,ToNumber
code-creation,Builtin,3,1714,0x1395c40,272,ToNumberConvertBigInt
code-creation,Builtin,3,1717,0x1395d60,275,ToNumeric
code-creation,Builtin,3,1719,0x1395e80,261,NumberToString
code-creation,Builtin,3,1722,0x1395fa0,466,ToInteger
code-creation,Builtin,3,1725,0x1396180,478,ToInteger_TruncateMinusZero
code-creation,Builtin,3,1727,0x1396360,394,ToLength
code-creation,Builtin,3,1730,0x1396500,140,Typeof
code-creation,Builtin,3,1733,0x13965a0,69,GetSuperConstructor
code-creation,Builtin,3,1736,0x1396600,133,BigIntToI64
code-creation,Builtin,3,1738,0x13966a0,12,BigIntToI32Pair
code-creation,Builtin,3,1741,0x13966c0,285,I64ToBigInt
code-creation,Builtin,3,1745,0x13967e0,12,I32PairToBigInt
code-creation,Builtin,3,1748,0x1396800,112,ToBooleanLazyDeoptContinuation
code-creation,Builtin,3,1751,0x1396880,2585,KeyedLoadIC_PolymorphicName
code-creation,Builtin,3,1754,0x13972a0,36,KeyedLoadIC_Slow
code-creation,Builtin,3,1756,0x13972e0,16522,KeyedStoreIC_Megamorphic
code-creation,Builtin,3,1759,0x139b380,40,KeyedStoreIC_Slow
code-creation,Builtin,3,1762,0x139b3c0,40,LoadGlobalIC_Slow
code-creation,Builtin,3,1765,0x139b400,68,LoadIC_FunctionPrototype
code-creation,Builtin,3,1768,0x139b460,36,LoadIC_Slow
code-creation,Builtin,3,1770,0x139b4a0,20,LoadIC_StringLength
code-creation,Builtin,3,1773,0x139b4c0,24,LoadIC_StringWrapperLength
code-creation,Builtin,3,1776,0x139b4e0,2940,LoadIC_NoFeedback
code-creation,Builtin,3,1778,0x139c060,40,StoreGlobalIC_Slow
code-creation,Builtin,3,1781,0x139c0a0,6704,StoreIC_NoFeedback
code-creation,Builtin,3,1784,0x139dae0,40,StoreInArrayLiteralIC_Slow
code-creation,Builtin,3,1787,0x139db20,368,KeyedLoadIC_SloppyArguments
code-creation,Builtin,3,1790,0x139dca0,80,LoadIndexedInterceptorIC
code-creation,Builtin,3,1793,0x139dd00,40,StoreInterceptorIC
code-creation,Builtin,3,1796,0x139dd40,536,KeyedStoreIC_SloppyArguments_Standard
code-creation,Builtin,3,1799,0x139df60,536,KeyedStoreIC_SloppyArguments_GrowNoTransitionHandleCOW
code-creation,Builtin,3,1802,0x139e180,536,KeyedStoreIC_SloppyArguments_NoTransitionIgnoreOOB
code-creation,Builtin,3,1806,0x139e3a0,536,KeyedStoreIC_SloppyArguments_NoTransitionHandleCOW
code-creation,Builtin,3,1809,0x139e5c0,40,StoreInArrayLiteralIC_Slow_Standard
code-creation,Builtin,3,1812,0x139e600,5784,StoreFastElementIC_Standard
code-creation,Builtin,3,1815,0x139fca0,6716,StoreFastElementIC_GrowNoTransitionHandleCOW
code-creation,Builtin,3,1818,0x13a16e0,5776,StoreFastElementIC_NoTransitionIgnoreOOB
code-creation,Builtin,3,1821,0x13a2d80,3220,StoreFastElementIC_NoTransitionHandleCOW
code-creation,Builtin,3,1824,0x13a3a20,40,StoreInArrayLiteralIC_Slow_GrowNoTransitionHandleCOW
code-creation,Builtin,3,1827,0x13a3a60,40,StoreInArrayLiteralIC_Slow_NoTransitionIgnoreOOB
code-creation,Builtin,3,1831,0x13a3aa0,40,StoreInArrayLiteralIC_Slow_NoTransitionHandleCOW
code-creation,Builtin,3,1834,0x13a3ae0,40,KeyedStoreIC_Slow_Standard
code-creation,Builtin,3,1837,0x13a3b20,40,KeyedStoreIC_Slow_GrowNoTransitionHandleCOW
code-creation,Builtin,3,1840,0x13a3b60,40,KeyedStoreIC_Slow_NoTransitionIgnoreOOB
code-creation,Builtin,3,1843,0x13a3ba0,40,KeyedStoreIC_Slow_NoTransitionHandleCOW
code-creation,Builtin,3,1846,0x13a3be0,9184,ElementsTransitionAndStore_Standard
code-creation,Builtin,3,1849,0x13a5fe0,18756,ElementsTransitionAndStore_GrowNoTransitionHandleCOW
code-creation,Builtin,3,1852,0x13aa940,9184,ElementsTransitionAndStore_NoTransitionIgnoreOOB
code-creation,Builtin,3,1856,0x13acd40,12032,ElementsTransitionAndStore_NoTransitionHandleCOW
code-creation,Builtin,3,1859,0x13afc60,764,KeyedHasIC_PolymorphicName
code-creation,Builtin,3,1862,0x13aff60,328,KeyedHasIC_SloppyArguments
code-creation,Builtin,3,1865,0x13b00c0,80,HasIndexedInterceptorIC
code-creation,Builtin,3,1867,0x13b0120,36,HasIC_Slow
code-creation,Builtin,3,1870,0x13b0160,181,EnqueueMicrotask
code-creation,Builtin,3,1873,0x13b0220,8,RunMicrotasksTrampoline
code-creation,Builtin,3,1875,0x13b0240,2292,RunMicrotasks
code-creation,Builtin,3,1878,0x13b0b40,2182,HasProperty
code-creation,Builtin,3,1881,0x13b13e0,1364,DeleteProperty
code-creation,Builtin,3,1883,0x13b1940,1912,CopyDataProperties
code-creation,Builtin,3,1886,0x13b20c0,8607,SetDataProperties
code-creation,Builtin,3,1889,0x13b4260,36,Abort
code-creation,Builtin,3,1891,0x13b42a0,36,AbortCSAAssert
code-creation,Builtin,3,1894,0x13b42e0,12,EmptyFunction
code-creation,Builtin,3,1897,0x13b4300,12,Illegal
code-creation,Builtin,3,1900,0x13b4320,12,StrictPoisonPillThrower
code-creation,Builtin,3,1903,0x13b4340,12,UnsupportedThrower
code-creation,Builtin,3,1905,0x13b4360,65,ReturnReceiver
code-creation,Builtin,3,1908,0x13b43c0,36,ArrayConstructor
code-creation,Builtin,3,1911,0x13b4400,413,ArrayConstructorImpl
code-creation,Builtin,3,1915,0x13b45a0,233,ArrayNoArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,1918,0x13b46a0,233,ArrayNoArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,1922,0x13b47a0,197,ArrayNoArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,1925,0x13b4880,197,ArrayNoArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,1929,0x13b4960,197,ArrayNoArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,1937,0x13b4a40,197,ArrayNoArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,1941,0x13b4b20,209,ArrayNoArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,1944,0x13b4c00,209,ArrayNoArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,1948,0x13b4ce0,313,ArraySingleArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,1951,0x13b4e20,533,ArraySingleArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,1955,0x13b5040,249,ArraySingleArgumentConstructor_PackedSmi_DisableAllocationSites
