v8-version,7,8,279,23,-node.46,0
code-creation,Builtin,3,1658,0x13941e0,56,ContinueToJavaScriptBuiltin
code-creation,Builtin,3,1661,0x1394220,64,ContinueToJavaScriptBuiltinWithResult
code-creation,Builtin,3,1664,0x1394280,287,CallApiCallback
code-creation,Builtin,3,1667,0x13943a0,269,CallApiGetter
code-creation,Builtin,3,1670,0x13944c0,12,HandleApiCall
code-creation,Builtin,3,1672,0x13944e0,12,HandleApiCallAsFunction
code-creation,Builtin,3,1675,0x1394500,12,HandleApiCallAsConstructor
code-creation,Builtin,3,1678,0x1394520,92,AllocateInYoungGeneration
code-creation,Builtin,3,1681,0x1394580,80,AllocateRegularInYoungGeneration
code-creation,Builtin,3,1684,0x13945e0,92,AllocateInOldGeneration
code-creation,Builtin,3,1687,0x1394640,80,AllocateRegularInOldGeneration
code-creation,Builtin,3,1691,0x13946a0,498,CopyFastSmiOrObjectElements
code-creation,Builtin,3,1694,0x13948a0,583,GrowFastDoubleElements
code-creation,Builtin,3,1698,0x1394b00,478,GrowFastSmiOrObjectElements
code-creation,Builtin,3,1702,0x1394ce0,453,NewArgumentsElements
code-creation,Builtin,3,1706,0x1394ec0,496,DebugBreakTrampoline
code-creation,Builtin,3,1710,0x13950c0,141,FrameDropperTrampoline
code-creation,Builtin,3,1714,0x1395160,45,HandleDebuggerStatement
code-creation,Builtin,3,1717,0x13951a0,282,ToObject
code-creation,Builtin,3,1721,0x13952c0,104,ToBoolean
code-creation,Builtin,3,1724,0x1395340,269,OrdinaryToPrimitive_Number
code-creation,Builtin,3,1728,0x1395460,269,OrdinaryToPrimitive_String
code-creation,Builtin,3,1732,0x1395580,219,NonPrimitiveToPrimitive_Default
code-creation,Builtin,3,1736,0x1395660,219,NonPrimitiveToPrimitive_Number
code-creation,Builtin,3,1740,0x1395740,219,NonPrimitiveToPrimitive_String
code-creation,Builtin,3,1745,0x1395820,85,StringToNumber
code-creation,Builtin,3,1749,0x1395880,129,ToName
code-creation,Builtin,3,1752,0x1395920,243,NonNumberToNumber
code-creation,Builtin,3,1756,0x1395a20,259,NonNumberToNumeric
code-creation,Builtin,3,1760,0x1395b40,235,ToNumber
code-creation,Builtin,3,1763,0x1395c40,272,ToNumberConvertBigInt
